SAMPN,PERNO,origin,destination
1370193,2,65345359,262078986
1370424,1,3969297812,53024492
1370424,2,3969297812,4933303158
1371390,1,53128058,53077626
1371446,1,65333819,65317045
1371710,2,659024496,419014561
1371817,1,65485025,65442062
1371817,2,65485025,297163808
1371817,3,65485025,3726020329
1371926,2,272282623,65525253
1372859,2,4350615760,257433450
1372859,3,4350615760,65303261
1373302,1,33619551,65497076
1373302,2,33619551,65467606
1373310,2,1710790646,26409219
1373310,3,1710790646,65383514
1373425,1,65427892,282414812
1373589,1,56055238,56126927
1373731,2,5175613633,1806856472
1373731,3,5175613633,1081079977
1373993,1,57822807,57870530
1374265,1,65617655,65545838
1374265,5,65617655,1081079821
1374417,1,53099248,65316662
1374417,2,53099248,65316662
1374417,3,53099248,65316662
1374682,2,65494883,65580390
1374731,2,4374566863,2389164241
1375234,1,65423728,461443503
1375234,2,65423728,65303747
1375464,1,62522643,57929400
1375464,3,62522643,1367622170
1375935,1,53036426,2230688685
1376082,1,53133844,53072400
1376411,1,53056371,53027386
1376809,1,1297836117,449081439
1376809,2,1297836117,4936382435
1377028,1,239669144,65306802
1377028,2,239669144,57862611
1377126,1,110383593,110421229
1377126,2,110383593,110383593
1378022,1,65512058,4179086026
1378212,1,2749906568,65475980
1378212,2,2749906568,52982204
1378789,1,65553830,332161462
1378789,2,65553830,65512168
1379388,1,65441278,522277389
1379388,2,65441278,256998750
1379449,1,53096090,57931235
1379609,1,1081556175,65459895
1379781,1,65294308,65295278
1380079,1,904620175,1723738893
1380079,2,904620175,1003276429
1380172,1,65670513,1711296815
1380172,2,65670513,3972090136
1380435,1,65296327,65305819
1380435,2,65296327,65315466
1380679,1,57827897,57796044
1380696,1,57796174,5303704116
1380696,2,57796174,5075881658
1381067,1,53044303,53103348
1381067,2,53044303,53103348
1381132,2,62382343,373959905
1381132,3,62382343,373959905
1381218,1,62501674,55958530
1381218,2,62501674,5358012848
1381218,3,62501674,62483179
1381373,1,55948490,62467224
1381373,2,55948490,55956398
1381471,2,2954360061,522276506
1381489,2,252014152,65463158
1381572,1,65430084,3756924098
1381572,2,65430084,427492522
1381774,1,5315443815,57796044
1381774,2,5315443815,283261628
1381850,1,56065970,345571596
1381944,2,65319949,65313133
1382090,1,222354677,249532466
1382285,2,2415110386,4931138710
1382297,1,65354081,662761996
1382297,2,65354081,65319961
1382320,1,65535657,5357247180
1382320,2,65535657,65671205
1382656,1,57862589,65550667
1382656,2,57862589,2480568047
1382656,3,57862589,1827193029
1383151,1,4357170829,1578907668
1383494,1,57802935,2328787845
1383582,2,57832750,283261510
1383583,1,2777385203,65481441
1383839,1,65305602,65329980
1383839,2,65305602,1422395873
1383853,1,53086921,1332083041
1383853,3,53086921,53090699
1383853,4,53086921,65371540
1384522,1,3974537705,65504899
1384775,2,65482193,65541148
1385092,1,57858055,57854336
1385092,3,57858055,57843300
1385092,5,57858055,3758561141
